"","SITE_ID","lat","long","ecoregion_3","elevation","slope","ws_area","ws_precip","ws_temp","ws_runoff","bfi_ws","perm_ws","erod_ws"
"164","NRS18_PA_10032",41.68346542,-78.45547253,62,59993,1.294666667,2.7558,1311.14373,6.866250629,641,41,11.55699543,0.27
"165","NRS18_VT_10018",44.56353755,-72.56501577,58,19692,0.094021739,615.9078,1154.83774,5.123228849,675.8711653,46.68061583,6.272516373,0.277125706
"166","NRS18_RI_10006",41.39469232,-71.84151595,59,526,0.041808817,759.1833,1231.962392,10.00047365,699.7137992,65.32716644,17.47912118,0.229163048
"167","NRS18_VT_10009",44.92641794,-72.08737253,58,29790,0.536666667,8.5383,1172.595409,4.592258143,621,47,6.203133762,0.29111521
"168","NRS18_VT_10012",44.94365739,-72.04422356,58,40593,1.426666667,4.3119,1181.284089,4.430585224,621,47,4.887532874,0.296036318
"169","NRS18_AR_10014",35.56232577,-93.28855047,38,18231,0.345833333,202.1553,1351.141016,14.64564495,533.9350094,24.71998558,5.014153381,0.281180409
"170","NRS18_IL_10037",37.26199019,-88.51406065,71,9936,0.028127813,582.4269,1217.124569,13.68290441,385.4697431,14.18768553,2.604631542,0.396883508
"171","NRS18_PA_10019",41.02334786,-78.90571919,70,41583,0.586666667,10.3167,1111.001153,8.58489269,602,39.79377126,8.170690046,0.296028963
"172","NRS18_RI_10199",41.54289668,-71.6956366,59,3662,0.135604253,4.5342,1245.12546,9.86035801,700,66.00813815,14.25749305,0.239438269
"173","NRS18_AR_10001",34.06488091,-93.44225956,36,8305,2,31.1058,1396.472065,16.24025383,578,22,4.795496499,0.354959782
"174","NRS18_NJ_10001",41.04211981,-74.04730488,64,6409,2.375,2.9043,1243.127034,11.06769382,479,47.41338705,8.803492408,0.21
"175","NRS18_MD_10008",39.40693029,-79.41190187,67,72492,0.144791667,95.2254,1226.670571,8.494245545,667.80813,40.04743587,14.53546982,0.278399051
"176","NRS18_VT_10017",44.1128039,-73.09310954,83,10828,0.4925,183.0744,1254.438324,4.98631075,601.1453917,45.72482499,5.88671894,0.297847662
